Castle,BusinessDate,DayOfWeek,HourMinute,Product,ProductUOM,ForecastedAmountOZ,ForecastedSales
CHIC 42,1/25/2022,TUESDAY,0:30,FRENCH FRIES,OZ,0,51.26
CHIC 42,1/25/2022,TUESDAY,0:45,FRENCH FRIES,OZ,0,39.56
CHIC 42,1/25/2022,TUESDAY,1:00,FRENCH FRIES,OZ,0,38.93
CHIC 42,1/25/2022,TUESDAY,1:15,FRENCH FRIES,OZ,0,42.82
CHIC 42,1/25/2022,TUESDAY,1:30,FRENCH FRIES,OZ,0,48.93
CHIC 42,1/25/2022,TUESDAY,1:45,FRENCH FRIES,OZ,8.52,46.39
CHIC 42,1/25/2022,TUESDAY,2:00,FRENCH FRIES,OZ,9.46,26.46
CHIC 42,1/25/2022,TUESDAY,2:15,FRENCH FRIES,OZ,0,33.43
CHIC 42,1/25/2022,TUESDAY,2:30,FRENCH FRIES,OZ,21.46,20.87
CHIC 42,1/25/2022,TUESDAY,2:45,FRENCH FRIES,OZ,4.46,31.88
CHIC 42,1/25/2022,TUESDAY,3:00,FRENCH FRIES,OZ,0,26.41
CHIC 42,1/25/2022,TUESDAY,3:15,FRENCH FRIES,OZ,13.38,27.81
CHIC 42,1/25/2022,TUESDAY,3:30,FRENCH FRIES,OZ,4.46,24.21
CHIC 42,1/25/2022,TUESDAY,3:45,FRENCH FRIES,OZ,0,12.51
CHIC 42,1/25/2022,TUESDAY,4:00,FRENCH FRIES,OZ,0,25.71
CHIC 42,1/25/2022,TUESDAY,4:15,FRENCH FRIES,OZ,8.92,18.47
CHIC 42,1/25/2022,TUESDAY,4:30,FRENCH FRIES,OZ,8.52,18.31
CHIC 42,1/25/2022,TUESDAY,4:45,FRENCH FRIES,OZ,12.54,17.18
CHIC 42,1/25/2022,TUESDAY,5:00,FRENCH FRIES,OZ,12.54,27.95
CHIC 42,1/25/2022,TUESDAY,5:15,FRENCH FRIES,OZ,0,24.18
CHIC 42,1/25/2022,TUESDAY,5:30,FRENCH FRIES,OZ,0,16.66
CHIC 42,1/25/2022,TUESDAY,5:45,FRENCH FRIES,OZ,8.92,30.15
CHIC 42,1/26/2022,WEDNESDAY,6:00,FRENCH FRIES,OZ,13.38,19.26
CHIC 42,1/26/2022,WEDNESDAY,6:15,FRENCH FRIES,OZ,8.92,33.43
CHIC 42,1/26/2022,WEDNESDAY,6:30,FRENCH FRIES,OZ,0,29.1
CHIC 42,1/26/2022,WEDNESDAY,6:45,FRENCH FRIES,OZ,4.46,24.71
CHIC 42,1/26/2022,WEDNESDAY,7:00,FRENCH FRIES,OZ,0,25.24
CHIC 42,1/26/2022,WEDNESDAY,7:15,FRENCH FRIES,OZ,0,32.85
CHIC 42,1/26/2022,WEDNESDAY,7:30,FRENCH FRIES,OZ,0,39.88
CHIC 42,1/26/2022,WEDNESDAY,7:45,FRENCH FRIES,OZ,4.46,37.33
